TransactionAmount,TransactionDuration,LoginAttempts,Channel,Location,TransactionAmount_bin,CustomerAge_bin,Target
0.007207441957422414,0.24482758620689654,0.0,0,36,0,4,1
0.1959402767282487,0.45172413793103444,0.0,0,15,3,4,0
0.0656799645621075,0.1586206896551724,0.0,2,23,1,0,0
0.0960158428225239,0.05172413793103449,0.0,2,33,2,0,1
0.006873908851655939,0.6482758620689656,0.0,2,1,0,2,2
0.04788805795137713,0.5586206896551724,0.0,0,28,1,0,1
0.003554212158323996,0.44482758620689655,0.0,0,39,0,1,1
0.08919925997342157,0.9689655172413792,0.0,1,16,2,4,0
0.05522578627823957,0.26206896551724135,0.0,1,11,1,2,2
0.4250983662089272,0.3793103448275862,0.0,0,26,4,3,0
0.009130468770357246,0.16896551724137931,0.0,2,0,0,2,2
0.09889256585975975,0.5620689655172414,0.0,2,22,2,0,0
0.2575813638377153,0.3482758620689655,0.0,1,23,4,0,0
0.40727519086953123,0.3896551724137931,0.0,0,22,4,0,0
0.08689058550694426,0.4275862068965517,0.0,2,21,2,0,0
0.2424316647992287,0.4103448275862069,0.0,0,10,4,1,2
0.2895171587148552,0.5103448275862069,0.0,1,2,4,0,2
0.2567527425280767,0.7724137931034483,0.0,2,8,4,2,2
0.00959949970034135,0.3310344827586207,0.0,1,0,0,3,2
0.037115980926075515,0.5482758620689655,0.0,2,8,1,0,2
0.030778851916512494,0.09655172413793102,0.0,1,20,0,4,0
0.04456314980326758,0.2862068965517241,0.0,1,19,1,2,0
0.027068296114860464,0.3793103448275862,0.0,2,1,0,2,2
0.18009745420434112,0.4551724137931034,0.0,2,13,3,0,2
0.07571201500898975,0.296551724137931,0.0,2,33,1,0,1
0.0037678818042056438,0.9172413793103449,0.0,2,15,0,4,0
0.128550954999088,0.5103448275862069,0.0,0,24,2,0,0
0.020877087839070278,0.29310344827586204,0.0,1,25,0,1,0
0.06628449331630924,0.6448275862068966,0.0,2,19,1,2,0
0.029137243661568127,0.9413793103448276,0.0,1,11,0,1,2
0.014618130651171273,0.034482758620689655,0.0,2,24,0,3,0
0.03067462282096047,0.8517241379310345,0.0,0,3,0,1,2
0.20647262683378065,0.5448275862068966,0.0,0,27,3,2,0
0.4573312140083904,0.4827586206896552,0.0,2,20,4,0,0
0.13289209682882977,0.13793103448275862,0.0,1,37,3,2,1
0.06488261198113453,0.1206896551724138,0.0,1,39,1,2,1
0.04058159835318029,0.46551724137931033,0.0,1,25,1,0,0
0.3382338379758709,0.4379310344827586,0.0,0,38,4,4,1
0.4143367120931808,0.27586206896551724,0.0,0,23,4,4,0
0.17477655887641036,0.7103448275862069,0.0,2,28,3,3,1
0.17104515725564792,0.3758620689655172,0.0,0,35,3,4,1
0.017593871329181544,0.031034482758620682,0.0,2,30,0,2,1
0.12567944341662976,0.36551724137931035,0.0,2,5,2,3,2
0.028694270005472026,0.36896551724137927,0.0,0,40,0,0,1
0.1584542825129635,0.07931034482758621,0.0,1,21,3,1,0
0.22670349428042838,0.27586206896551724,0.0,1,6,4,4,2
0.08558772181254397,0.22413793103448276,0.0,1,3,2,0,2
0.2657737707481043,0.3275862068965517,0.0,2,28,4,0,1
0.3265706021835995,0.4413793103448276,0.0,2,10,4,0,2
0.01133491414128254,0.5689655172413793,0.0,2,34,0,2,1
0.2215285196862704,0.38275862068965516,0.0,2,18,4,4,0
0.22112202621361754,0.8758620689655173,0.0,2,29,4,2,1
0.044385960340829145,0.46551724137931033,0.0,1,41,1,4,1
